comparison,table,metric,population,dataset_id,lhs_mean,rhs_mean,difference,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
repeated_minus_none128,E3,within_label_silhouette__patientGroup,joint,lung_atlas,0.23611229738843895,0.22368924675333979,0.012423050635099122,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,within_label_silhouette__patientGroup,joint,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas)
repeated_minus_none128,E3,within_label_silhouette__patientGroup,query,immune_cell_human,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas)
repeated_minus_none128,E3,within_label_silhouette__patientGroup,query,lung_atlas,NA,NA,NA,all_na,3,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette); rhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette)
repeated_minus_none128,E3,within_label_silhouette__patientGroup,query,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas)
repeated_minus_none128,E3,within_label_silhouette__patientGroup,reference,immune_cell_human,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas)
repeated_minus_none128,E3,within_label_silhouette__patientGroup,reference,lung_atlas,0.24992904411748962,0.23632388663853213,0.013605157478957464,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,within_label_silhouette__patientGroup,reference,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas)
repeated_minus_none128,E3,within_label_silhouette__sample_ID,joint,immune_cell_human,0.0065310376120887989,0.031944045719136088,-0.025413008107047289,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,within_label_silhouette__sample_ID,joint,lung_atlas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human)
repeated_minus_none128,E3,within_label_silhouette__sample_ID,joint,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human)
repeated_minus_none128,E3,within_label_silhouette__sample_ID,query,immune_cell_human,NA,NA,NA,all_na,3,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette); rhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette)
repeated_minus_none128,E3,within_label_silhouette__sample_ID,query,lung_atlas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human)
repeated_minus_none128,E3,within_label_silhouette__sample_ID,query,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human)
repeated_minus_none128,E3,within_label_silhouette__sample_ID,reference,immune_cell_human,0.0013548881719251127,0.021768867611597405,-0.02041397943967229,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
